window_id,conversation_id,video_name,start_sec,end_sec,trigger_id,trigger_timestamp,recommendation_mode,recommendation_1,recommendation_2,urgency,rationale,annotation_status
vid_043__day_1__con_4__person_1_part1__0000_0060,day_1__con_4__part1,vid_043__day_1__con_4__person_1_part1,0,60,t1,0.00,both,"Say: ""Let's each quickly say one thing we notice about what the others are wearing to find commonalities.""",Know: Clarifying the task explicitly can help ensure everyone understands and participates actively.,medium,P1 opens with a broad question that could be made clearer to encourage more active and balanced participation from all.,proposed_by_ai
vid_043__day_1__con_4__person_1_part1__0000_0060,day_1__con_4__part1,vid_043__day_1__con_4__person_1_part1,0,60,t2,46.59,say,"Say: ""Since collars can be hard to see from my angle, can someone describe theirs to help me confirm?""","Say: ""Let's check if others have similar details like buttons or collars to compare.""",low,P1 notes difficulty seeing collars from their camera; a prompt for clarification or verification would improve shared understanding.,proposed_by_ai
vid_043__day_1__con_4__person_1_part1__0060_0120,day_1__con_4__part1,vid_043__day_1__con_4__person_1_part1,60,120,t1,66.00,both,"Say: ""Does that description make sense? Would you like me to clarify anything about the plate?""",Know: Confirming understanding after giving instructions or descriptions helps keep others engaged and ensures clarity.,medium,"P1 gives a detailed description and invites others to pick items but does not check if others understood or are ready, which could improve participation.",proposed_by_ai
vid_043__day_1__con_4__person_1_part1__0060_0120,day_1__con_4__part1,vid_043__day_1__con_4__person_1_part1,60,120,t2,90.00,say,"Say: ""Great, now can you describe one detail about the succulents or the cabinet?""","Say: ""What do you find interesting about the cabinet or the items inside?""",medium,P1 could prompt P2 to elaborate more on their chosen object to deepen the conversation and encourage richer descriptions.,proposed_by_ai
vid_043__day_1__con_4__person_1_part1__0120_0180,day_1__con_4__part1,vid_043__day_1__con_4__person_1_part1,120,180,t1,154.73,both,"Say: Ask for clarification about the object to confirm what it is, e.g., 'Is that a blender or a whisk?'",Know: Recognize that clarifying uncertain references helps maintain conversational flow and shows engagement.,medium,"P2 expresses uncertainty about an object, which is a good moment for the wearer to clarify and keep the conversation clear and engaging.",proposed_by_ai
vid_044__day_1__con_4__person_1_part2__0060_0120,day_1__con_4__part2,vid_044__day_1__con_4__person_1_part2,60,120,t1,70.81,both,"Say: ""What aspects of modern plumbing do you find most interesting or useful?""","Know: Modern plumbing innovations often focus on efficiency and sustainability, which could enrich the discussion.",medium,"P1 introduces a new topic (modern plumbing) but does not engage others to elaborate, missing an opportunity to deepen the conversation.",proposed_by_ai
vid_044__day_1__con_4__person_1_part2__0060_0120,day_1__con_4__part2,vid_044__day_1__con_4__person_1_part2,60,120,t2,94.08,say,"Say: ""What do you think makes a building's design 'modern'?""","Say: ""Should we consider architecture as an invention or more as an evolving art?""",medium,"P1 expresses uncertainty about the best invention but does not invite others to clarify or expand, missing a chance to foster group reflection.",proposed_by_ai
vid_044__day_1__con_4__person_1_part2__0120_0180,day_1__con_4__part2,vid_044__day_1__con_4__person_1_part2,120,180,t1,175.54,both,Say: Share a vegetable you disliked as a child to keep the conversation flowing.,Know: Recognize this as an opportunity to deepen personal connection by sharing childhood food experiences.,medium,"The wearer can improve engagement by responding with a personal example, which would enhance conversational flow and rapport.",proposed_by_ai
vid_044__day_1__con_4__person_1_part2__0180_0240,day_1__con_4__part2,vid_044__day_1__con_4__person_1_part2,180,240,t1,217.21,both,Ask P3 to describe what makes cilantro taste soapy to them.,Know that cilantro's soapy taste is due to genetic variation affecting taste receptors.,medium,"P1 could deepen the conversation by inviting P3 to elaborate on their sensory experience, showing interest and encouraging sharing.",proposed_by_ai
vid_044__day_1__con_4__person_1_part2__0180_0240,day_1__con_4__part2,vid_044__day_1__con_4__person_1_part2,180,240,t2,229.22,say,React with curiosity or humor to P1's dare story to keep the conversation lively.,Ask if P1 actually completed the dare or how it felt to eat a bag of cilantro.,low,P1's story about the dare is a good opportunity for follow-up to enhance rapport and engagement.,proposed_by_ai
vid_044__day_1__con_4__person_1_part2__0240_0300,day_1__con_4__part2,vid_044__day_1__con_4__person_1_part2,240,300,t1,268.35,both,Say: Clearly explain the rules of the word game to ensure everyone understands how to play.,Know: Recognize that initiating a group game can boost group engagement and participation.,medium,P1 starts a word game but gives minimal instructions; clarifying rules can improve group involvement and reduce confusion.,proposed_by_ai
vid_045__day_1__con_4__person_1_part3__0000_0060,day_1__con_4__part3,vid_045__day_1__con_4__person_1_part3,0,60,t1,0.00,say,Confirm explicitly if the new sentence is related to the previous one to avoid confusion.,Ask if others want to add or change the sentence to encourage participation.,medium,Early clarification can improve group alignment and engagement in the task.,proposed_by_ai
vid_045__day_1__con_4__person_1_part3__0000_0060,day_1__con_4__part3,vid_045__day_1__con_4__person_1_part3,0,60,t2,46.00,both,Share a favorite tongue twister you know to contribute and keep the conversation lively.,Know that sharing personal knowledge or favorites can enhance group bonding and participation.,medium,The wearer expressed limited knowledge; contributing can improve their involvement and the group's dynamic.,proposed_by_ai
vid_045__day_1__con_4__person_1_part3__0060_0120,day_1__con_4__part3,vid_045__day_1__con_4__person_1_part3,60,120,t1,90.69,both,"Say: 'Take your time, we're all here to help if you get stuck.'",Know: Encouragement is more effective when paired with specific support or reassurance to reduce pressure.,medium,P1's encouragement is positive but somewhat vague; adding reassurance or offer of help could improve P3's confidence and participation.,proposed_by_ai
vid_045__day_1__con_4__person_1_part3__0120_0180,day_1__con_4__part3,vid_045__day_1__con_4__person_1_part3,120,180,t1,135.08,both,Say: Ask a follow-up question like 'What memories or feelings does orange bring up for you?' to deepen the conversation.,Know: Recognize that personal questions about preferences can build rapport and invite richer sharing.,medium,"P1 initiates a personal question about favorite colors, which is a good moment to encourage elaboration and connection.",proposed_by_ai
vid_045__day_1__con_4__person_1_part3__0180_0240,day_1__con_4__part3,vid_045__day_1__con_4__person_1_part3,180,240,t1,188.00,say,Wait for P2 to finish before responding to avoid interrupting.,Acknowledge P2's point about blue being great before adding your thoughts.,medium,"P1 interrupts P2 mid-sentence at 03:08, which may disrupt flow and reduce P2's comfort in sharing.",proposed_by_ai
