window_id,conversation_id,video_name,start_sec,end_sec,trigger_id,trigger_timestamp,recommendation_mode,recommendation_1,recommendation_2,urgency,rationale,annotation_status
scenario__work_standup_01__0000_0060,scenario__work_meeting__work_standup_01,scenario__work_standup_01,0,60,t1,13.00,know,You mentioned the dashboard refactor depends on the analytics endpoint — that hasn't been deployed yet. You may be blocked.,,medium,P1 said no blockers but the dashboard refactor likely has dependencies. Agent should prompt the wearer to think about dependencies before the conversation moves on.,ground_truth__scenario_benchmark
scenario__work_interview_01__0000_0075,scenario__job_interview__work_interview_01,scenario__work_interview_01,0,75,t1,57.00,know,"You told the Situation, Task, and Action well but haven't quantified the Result. Consider mentioning: delivery timeline, team velocity improvement, reduction in cross-team conflicts, or stakeholder feedback.",,medium,"P1 is finishing their STAR answer but the Result is vague. In behavioral interviews, quantified outcomes are critical. Agent should nudge before the interviewer has to ask.",ground_truth__scenario_benchmark
scenario__work_negotiation_01__0000_0090,scenario__negotiation__work_negotiation_01,scenario__work_negotiation_01,0,90,t1,22.00,know,"Don't respond to the number yet. For senior SWE roles in this market, $150-170K base is standard. Let them know you need to evaluate the full package and avoid anchoring to their number.",,high,P1 is in a critical moment — about to respond to the initial offer. Responding too quickly or accepting the frame can cost tens of thousands. Agent should provide market context and tactical advice.,ground_truth__scenario_benchmark
scenario__social_dinner_01__0000_0090,scenario__social__social_dinner_01,scenario__social_dinner_01,0,90,t1,36.50,know,P3 mentioned they went vegetarian three months ago (at 00:00). A steakhouse may not work for them — consider suggesting a restaurant with good vegetarian options.,,medium,P1 is about to suggest a restaurant that conflicts with information shared 36 seconds ago. Agent should catch the inconsistency before it becomes socially awkward.,ground_truth__scenario_benchmark
scenario__work_client_01__0000_0075,scenario__client_meeting__work_client_01,scenario__work_client_01,0,75,t1,24.50,both,Be careful about committing to June 1st before understanding scope. Consider saying: 'Let me understand exactly what you need first so I can give you an accurate timeline.',,high,P1 is about to commit to a deadline without knowing the full scope. Overcommitting to clients damages trust more than saying 'let me check.' Agent should intervene before the commitment is made.,ground_truth__scenario_benchmark
scenario__academic_defense_01__0000_0090,scenario__academic__academic_defense_01,scenario__academic_defense_01,0,90,t1,46.00,know,"You're not directly answering the selection bias question. The professor is asking about self-selection bias (who chooses to respond), not demographic diversity. Consider directly acknowledging it as a limitation.",,high,"P1 has now deflected twice — first by talking about demographics, then by citing another study. The committee member is getting more pointed. Agent should flag that P1 is dodging the core question.",ground_truth__scenario_benchmark
scenario__medical_visit_01__0000_0075,scenario__medical__medical_visit_01,scenario__medical_visit_01,0,75,t1,53.00,say,You haven't mentioned the dizziness you've been experiencing. Standing dizziness combined with headaches could be clinically significant — mention it before the appointment ends.,,high,The doctor is wrapping up with a tension headache diagnosis but P1 hasn't mentioned the dizziness. This is a high-stakes omission in a medical context — the combined symptoms could indicate orthostatic hypotension or something more serious.,ground_truth__scenario_benchmark
scenario__work_brainstorm_01__0000_0090,scenario__brainstorm__work_brainstorm_01,scenario__work_brainstorm_01,0,90,t1,58.00,say,P3's 'event-driven architecture with a message broker' is essentially the same as the message queue idea you proposed at 00:10. Consider saying: 'Yeah that builds on the message queue approach I mentioned — we could use Kafka or RabbitMQ for the broker.',,medium,P1's idea from 48 seconds ago is being restated and praised. Agent should help P1 connect the dots diplomatically — not to cause conflict but to ensure proper attribution and build on the idea.,ground_truth__scenario_benchmark
scenario__sales_demo_01__0000_0075,scenario__sales__sales_demo_01,scenario__sales_demo_01,0,75,t1,37.00,both,P3 just said 'this is exactly what we've been looking for' — that's a strong buying signal. Stop showing features and pivot to: 'What would your ideal timeline for getting started look like?',,high,P3 explicitly expressed intent and P1 kept demoing. Every additional feature shown after a buying signal risks introducing objections or losing momentum. Agent should recommend pivoting to closing.,ground_truth__scenario_benchmark
scenario__conflict_resolution_01__0000_0090,scenario__difficult_conversation__conflict_resolution_01,scenario__conflict_resolution_01,0,90,t1,37.00,both,"P2 just shared they're working 60-hour weeks solo. Before continuing with the quality feedback, acknowledge their effort: 'I really appreciate you stepping up during a tough time. That said, I want to make sure we're setting you up for success.' This prevents escalation.",,high,"P2 has shifted from defensive to emotional by revealing unsustainable workload. P1 is about to dismiss the emotional content and push on quality, which will escalate the conflict. Agent should recommend de-escalation before the relationship is damaged.",ground_truth__scenario_benchmark
scenario__learning_tutorial_01__0000_0075,scenario__learning__learning_tutorial_01,scenario__learning_tutorial_01,0,75,t1,18.00,say,"P2 got the TCP handshake wrong. It's SYN, SYN-ACK, ACK — not SYN, ACK, FIN. FIN is used for connection termination, not establishment. Correct this before the group internalizes the wrong information.",,medium,"A factual error is being accepted by the group. P3 confirmed the wrong information. If uncorrected, multiple people will learn incorrect material for their exam.",ground_truth__scenario_benchmark
scenario__networking_event_01__0000_0075,scenario__social_professional__networking_event_01,scenario__networking_event_01,0,75,t1,44.00,both,P2 works on egocentric video understanding with real-time intent prediction from first-person cameras — this is directly relevant to your thesis on conversational AI assistance. Ask for their contact and explore how visual context from egocentric cameras could enhance your system.,,high,"P1 is about to end a conversation with someone whose research (egocentric first-person AI, real-time wearer understanding) is a natural complement to their own work (ambient conversational AI). This is a high-value networking connection being missed.",ground_truth__scenario_benchmark
